token,rating,date,version,used_count
using,2,2020-11-07,9.2,1
using,2,2020-08-07,8.8,1
using,2,2019-11-22,,1
this,2,2020-11-07,9.2,5
this,2,2020-10-31,9.2,1
this,2,2020-10-05,9.0,1
this,2,2020-11-15,9.2,1
this,2,2020-08-20,8.8,1
this,2,2020-06-29,8.8,2
this,2,2020-08-07,8.8,3
this,2,2020-08-07,,1
this,2,2020-08-10,8.8,1
this,2,2020-08-06,8.8,3
this,2,2020-08-11,8.8,5
this,2,2019-07-28,7.7,1
this,2,2020-04-19,8.7,2
this,2,2019-09-15,,1
this,2,2019-09-15,7.91,1
this,2,2019-07-27,7.7,3
this,2,2019-11-14,8.0,1
this,2,2020-05-14,8.8,2
this,2,2020-01-11,8.2,1
this,2,2019-10-20,8.0,1
this,2,2019-04-25,7.4,1
this,2,2020-08-23,8.8,1
this,2,2019-02-01,6.8,1
this,2,2019-06-18,7.5,1
this,2,2020-04-30,8.7,1
this,2,2019-04-24,7.4,1
this,2,2019-12-03,8.2,1
this,2,2019-04-09,7.02,2
this,2,2020-03-31,,2
this,2,2019-09-13,7.91,1
this,2,2020-03-15,8.2,1
this,2,2020-05-17,,1
this,2,2019-09-28,7.91,1
this,2,2020-07-06,8.8,1
this,2,2019-03-04,,1
this,2,2019-04-17,,1
this,2,2020-07-05,8.8,1
this,2,2019-09-25,7.91,3
this,2,2020-05-16,8.8,1
this,2,2020-09-19,9.0,1
this,2,2020-09-22,,1
this,2,2020-10-27,,1
this,2,2020-07-03,,1
this,2,2019-06-19,7.6,2
this,2,2019-04-27,7.4,2
this,2,2019-09-12,7.91,1
this,2,2020-01-24,,1
this,2,2019-09-07,7.7,1
this,2,2019-06-02,7.5,1
this,2,2019-06-03,7.5,2
this,2,2020-05-28,8.8,1
this,2,2020-05-28,,1
this,2,2020-06-14,,1
this,2,2020-08-28,,1
this,2,2019-11-08,8.0,1
this,2,2019-09-05,7.7,1
this,2,2020-09-10,,1
this,2,2019-02-12,6.8,2
this,2,2020-05-21,8.8,1
this,2,2020-08-05,8.8,1
this,2,2019-11-10,,1
this,2,2020-05-06,8.8,2
this,2,2019-02-05,,1
this,2,2020-09-16,9.0,1
this,2,2020-03-16,8.2,1
this,2,2020-07-22,,1
this,2,2019-12-25,,1
this,2,2020-06-02,8.8,1
this,2,2019-12-22,8.2,1
this,2,2020-06-28,,1
this,2,2019-05-14,7.5,1
this,2,2020-06-07,8.8,1
this,2,2019-07-21,7.7,1
this,2,2019-05-24,7.5,2
this,2,2019-04-12,7.02,1
app,2,2020-11-07,9.2,2
app,2,2020-10-31,9.2,1
app,2,2020-10-22,9.2,1
app,2,2020-11-03,9.2,1
app,2,2020-10-12,9.0,1
app,2,2020-11-15,9.2,1
app,2,2020-10-25,9.2,1
app,2,2020-08-20,8.8,1
app,2,2020-06-06,8.8,3
app,2,2020-06-29,8.8,1
app,2,2020-08-21,8.8,1
app,2,2020-10-13,9.0,1
app,2,2020-07-16,8.8,2
app,2,2020-06-27,8.8,1
app,2,2020-08-07,8.8,2
app,2,2020-08-07,,2
app,2,2020-11-01,,2
app,2,2020-08-13,,2
app,2,2020-08-10,8.8,2
app,2,2020-08-06,8.8,2
