token,rating,date,version,used_count
was,3,2020-10-24,9.2,1
was,3,2020-09-24,,1
was,3,2020-07-05,8.8,1
was,3,2020-10-15,9.0,1
was,3,2020-10-14,9.0,1
was,3,2019-04-23,7.4,1
was,3,2020-06-28,,3
was,3,2020-03-30,,1
was,3,2018-12-29,6.6,1
was,3,2020-04-13,8.7,1
was,3,2020-07-26,8.8,1
was,3,2019-05-14,7.5,2
was,3,2020-03-28,8.7,1
good,3,2020-10-24,9.2,1
good,3,2020-11-04,9.0,1
good,3,2020-11-04,,1
good,3,2020-10-09,9.0,1
good,3,2020-11-07,9.2,1
good,3,2020-09-24,,2
good,3,2020-09-24,9.0,2
good,3,2020-10-26,,1
good,3,2020-07-22,8.8,1
good,3,2020-05-22,8.8,3
good,3,2020-09-27,9.0,2
good,3,2020-08-16,8.8,1
good,3,2020-07-05,8.8,1
good,3,2019-04-10,,1
good,3,2020-06-19,8.8,1
good,3,2020-05-07,8.8,1
good,3,2020-05-10,8.8,1
good,3,2020-05-10,,1
good,3,2019-10-29,8.0,1
good,3,2019-11-10,8.0,1
good,3,2020-08-31,,1
good,3,2020-04-12,8.7,1
good,3,2020-03-23,8.2,1
good,3,2020-03-23,,1
good,3,2019-10-08,8.0,3
good,3,2020-04-23,8.7,1
good,3,2020-03-26,8.7,1
good,3,2020-03-26,8.2,1
good,3,2019-12-26,8.2,1
good,3,2020-02-19,8.2,2
good,3,2020-07-10,8.8,1
good,3,2020-05-16,,1
good,3,2020-04-28,8.7,1
good,3,2020-06-02,8.8,1
good,3,2019-11-08,8.0,2
good,3,2019-07-31,7.7,2
good,3,2020-04-30,8.7,7
good,3,2020-06-13,8.8,1
good,3,2020-06-13,,1
good,3,2020-04-21,8.7,1
good,3,2020-01-31,8.2,1
good,3,2020-06-09,8.8,1
good,3,2020-05-13,8.8,1
good,3,2020-03-04,8.2,1
good,3,2020-03-04,,1
good,3,2020-07-19,8.8,1
good,3,2019-08-04,7.7,1
good,3,2019-12-25,,1
good,3,2020-03-14,8.2,2
good,3,2020-05-24,,1
good,3,2020-09-15,9.0,1
good,3,2019-12-24,8.2,1
good,3,2019-07-09,7.6,1
good,3,2019-05-05,7.4,1
good,3,2020-01-03,8.2,1
good,3,2020-01-03,8.0,1
good,3,2019-06-03,7.5,1
good,3,2020-01-25,8.2,2
good,3,2020-05-05,8.8,1
good,3,2020-05-12,8.8,1
good,3,2020-07-01,8.8,1
good,3,2020-04-01,8.7,2
good,3,2019-11-24,8.2,1
good,3,2020-09-03,9.0,2
good,3,2020-02-26,,1
good,3,2019-04-22,7.4,1
good,3,2019-12-05,8.2,1
good,3,2020-03-30,,1
good,3,2020-03-30,8.7,2
good,3,2020-03-30,,1
good,3,2020-05-29,8.8,4
good,3,2020-10-11,9.0,1
good,3,2020-02-10,8.2,1
good,3,2020-03-13,8.2,2
good,3,2019-02-06,,1
good,3,2019-11-29,8.2,2
good,3,2020-09-30,,1
good,3,2020-09-30,,2
good,3,2020-01-18,,1
good,3,2019-06-19,7.6,2
good,3,2020-01-07,8.2,1
good,3,2020-06-30,8.8,1
good,3,2020-08-20,8.8,1
good,3,2020-07-26,8.8,1
good,3,2020-03-19,,1
good,3,2020-03-19,8.2,2
good,3,2019-12-18,,2
good,3,2019-12-18,8.2,1
good,3,2020-07-15,8.8,1
good,3,2020-09-22,9.0,1
good,3,2020-06-20,8.8,2
good,3,2020-01-10,8.2,2
good,3,2020-01-10,,1
good,3,2020-05-25,8.8,1
good,3,2020-04-19,,1
good,3,2020-06-26,,1
good,3,2020-06-26,8.8,1
good,3,2020-04-11,8.7,1
good,3,2019-11-27,8.2,1
good,3,2019-08-21,7.7,1
good,3,2019-11-28,8.2,2
good,3,2020-02-12,8.2,2
good,3,2019-10-20,8.0,3
good,3,2020-03-31,8.2,1
good,3,2019-04-15,7.02,1
good,3,2020-11-14,9.2,2
good,3,2020-10-31,9.2,1
good,3,2020-11-01,9.2,2
good,3,2020-08-03,8.8,1
good,3,2020-08-11,8.8,1
good,3,2020-07-30,8.8,1
good,3,2020-07-31,8.8,1
good,3,2020-08-18,8.8,1
good,3,2020-08-02,8.8,1
good,3,2020-07-09,8.8,1
good,3,2020-05-31,8.8,1
good,3,2020-07-14,8.8,1
good,3,2020-05-26,8.8,1
good,3,2020-06-04,8.8,1
good,3,2020-06-25,8.8,1
good,3,2020-07-13,8.8,1
good,3,2019-12-09,8.2,2
good,3,2020-02-08,8.2,2
good,3,2020-02-06,8.2,1
good,3,2020-01-16,8.2,1
good,3,2020-02-23,8.2,1
good,3,2020-02-28,8.2,1
good,3,2020-03-12,8.2,2
good,3,2020-03-02,8.2,2
good,3,2020-02-02,8.2,1
good,3,2020-03-03,8.2,1
good,3,2020-03-16,8.2,1
good,3,2020-02-15,8.2,1
good,3,2020-01-11,8.2,2
good,3,2020-02-04,8.2,1
good,3,2019-12-11,8.2,1
good,3,2020-03-07,8.2,1
good,3,2019-12-22,8.2,1
good,3,2020-01-08,8.2,1
good,3,2020-01-21,8.2,1
good,3,2019-12-04,8.2,1
good,3,2019-11-17,8.0,1
good,3,2019-11-05,8.0,1
good,3,2019-10-11,8.0,1
good,3,2019-10-14,8.0,1
good,3,2019-09-23,7.91,1
good,3,2019-09-15,7.91,1
good,3,2019-09-28,7.91,1
good,3,2019-08-10,7.7,1
good,3,2019-08-11,7.7,1
good,3,2019-08-13,7.7,1
good,3,2019-07-25,7.7,1
good,3,2019-06-29,7.7,1
good,3,2019-09-06,7.7,1
good,3,2019-07-22,7.7,1
good,3,2019-08-12,7.7,1
good,3,2019-08-27,7.7,1
good,3,2019-08-03,7.7,1
good,3,2019-07-04,7.7,1
good,3,2019-08-28,7.7,1
good,3,2019-07-29,7.7,1
good,3,2019-08-14,7.7,1
good,3,2019-06-10,7.6,1
good,3,2019-06-18,7.6,1
good,3,2019-06-15,7.6,1
good,3,2019-06-09,7.5,1
good,3,2019-05-28,7.5,2
good,3,2019-06-13,7.5,1
good,3,2019-05-14,7.5,1
good,3,2019-05-26,7.5,1
good,3,2019-04-27,7.4,3
good,3,2019-04-21,7.4,1
good,3,2019-04-13,7.02,1
good,3,2019-04-08,7.02,1
good,3,2019-03-22,7.02,2
good,3,2019-04-03,7.02,1
good,3,2019-03-18,7.02,1
good,3,2019-03-06,6.9,1
good,3,2019-03-11,6.9,1
good,3,2019-02-11,6.8,1
good,3,2019-01-18,6.7,1
good,3,2019-01-29,6.7,2
good,3,2018-12-25,6.6,1
good,3,2019-05-24,,1
good,3,2020-03-10,,1
good,3,2020-09-02,,1
good,3,2019-09-21,,1
good,3,2020-04-13,,1
good,3,2020-06-05,,1
good,3,2020-03-18,,1
good,3,2020-07-16,,1
good,3,2020-04-18,,1
good,3,2018-12-22,,1
good,3,2020-08-01,,1
good,3,2020-02-11,,1
good,3,2020-05-06,,1
good,3,2019-07-01,,1
for,3,2020-10-24,9.2,1
for,3,2020-11-04,9.0,2
for,3,2020-10-28,,4
for,3,2020-10-28,,2
for,3,2020-10-06,9.0,1
for,3,2020-09-24,9.0,2
for,3,2020-05-05,8.7,1
for,3,2019-04-10,,1
for,3,2020-07-06,8.8,1
for,3,2020-05-04,8.8,2
for,3,2020-06-18,8.8,2
for,3,2020-04-25,8.7,1
for,3,2020-05-10,8.8,1
for,3,2019-10-29,8.0,1
for,3,2020-04-12,8.7,1
for,3,2019-06-14,7.6,1
for,3,2019-10-08,8.0,3
for,3,2020-05-12,,1
for,3,2020-07-09,,1
for,3,2020-07-09,8.8,1
for,3,2020-03-30,,1
for,3,2020-05-07,8.8,2
for,3,2020-06-02,8.8,1
for,3,2020-08-06,8.8,1
for,3,2020-10-14,9.0,1
for,3,2020-02-14,8.2,2
for,3,2019-08-04,7.7,1
for,3,2019-05-10,7.5,2
for,3,2019-12-25,,1
for,3,2020-05-24,,1
for,3,2019-05-21,7.5,1
for,3,2020-02-26,8.2,1
for,3,2020-01-25,8.2,1
for,3,2020-01-28,8.2,1
for,3,2020-04-01,8.7,1
for,3,2020-07-20,8.8,1
for,3,2020-05-16,8.8,1
for,3,2019-11-08,8.0,1
for,3,2019-12-06,8.2,1
for,3,2020-10-11,9.0,1
for,3,2020-03-01,8.2,1
for,3,2019-02-06,,1
for,3,2020-04-03,8.7,1
for,3,2019-04-25,7.4,3
for,3,2020-01-07,8.2,1
for,3,2019-10-20,8.0,1
for,3,2020-03-23,8.2,1
for,3,2020-07-10,8.8,1
for,3,2020-09-21,9.0,1
for,3,2019-12-05,8.2,1
for,3,2020-07-14,,1
for,3,2019-12-01,8.2,1
for,3,2019-04-19,7.4,2
for,3,2019-12-28,,1
